Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
119,Drew Eubanks,C,26,PHO,13,0,18.8,3.2,4.9,.656,0.2,0.2,1.000,3.1,4.8,.645,.672,1.2,1.5,.789,1.4,3.2,4.5,1.8,0.2,1.2,1.2,2.0,7.8,2024
120,Dante Exum,PG,28,DAL,13,0,9.8,2.0,3.8,.520,0.2,0.9,.250,1.8,2.9,.605,.550,0.3,0.5,.571,0.3,1.8,2.1,1.5,0.2,0.2,0.2,1.0,4.5,2024
121,Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,2024
122,Dorian Finney-Smith,PF,30,BRK,13,12,30.2,4.2,8.9,.466,2.8,6.3,.451,1.3,2.6,.500,.625,0.1,0.2,.333,1.8,3.3,5.2,1.4,0.3,0.6,1.1,2.5,11.2,2024
123,Malachi Flynn,PG,25,TOR,13,0,16.9,2.1,4.8,.435,1.0,2.7,.371,1.1,2.1,.519,.540,0.5,0.8,.700,0.5,1.3,1.8,2.5,0.8,0.1,1.1,1.5,5.7,2024
124,Simone Fontecchio,SF,28,UTA,11,0,11.7,1.8,3.8,.476,1.1,2.5,.429,0.7,1.3,.571,.619,0.0,0.0,,0.6,1.1,1.7,0.4,0.2,0.3,0.9,1.0,4.7,2024
125,Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8,2024
126,Trent Forrest,SG,25,ATL,2,0,9.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,0.0,0.5,2.5,0.0,0.0,0.0,0.5,1.0,2024
127,Evan Fournier,SG,31,NYK,1,0,16.0,1.0,6.0,.167,0.0,4.0,.000,1.0,2.0,.500,.167,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2024
128,De'Aaron Fox,PG,26,SAC,8,8,35.1,10.5,21.8,.483,3.4,9.0,.375,7.1,12.8,.559,.560,5.3,7.1,.737,1.0,3.3,4.3,5.4,1.8,0.4,1.9,2.6,29.6,2024
129,Alex Fudge,SF,20,LAL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
130,Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4,2024
131,Daniel Gafford,C,25,WAS,11,11,24.1,3.8,5.5,.689,0.0,0.0,,3.8,5.5,.689,.689,1.5,2.3,.640,2.4,4.6,7.0,1.2,0.5,2.0,1.3,3.3,9.1,2024
132,Danilo Gallinari,PF,35,WAS,12,0,15.3,2.9,5.8,.500,0.8,2.5,.300,2.2,3.3,.650,.564,1.7,2.1,.800,0.8,2.3,3.0,1.7,0.3,0.3,0.5,0.9,8.3,2024
133,Darius Garland,PG,24,CLE,8,8,33.4,6.9,14.1,.487,1.5,4.6,.324,5.4,9.5,.566,.540,4.4,5.4,.814,0.6,2.3,2.9,5.8,1.5,0.4,4.8,1.8,19.6,2024
134,Luka Garza,C,25,MIN,3,0,3.7,1.3,3.0,.444,0.0,0.3,.000,1.3,2.7,.500,.444,1.3,2.0,.667,1.0,0.7,1.7,0.0,0.0,0.0,0.0,1.0,4.0,2024
135,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
136,Keyonte George,PG,20,UTA,13,5,24.3,2.8,7.8,.366,1.3,4.4,.298,1.5,3.4,.455,.450,1.5,1.8,.792,0.5,2.2,2.7,5.4,0.5,0.2,2.1,1.2,8.5,2024
137,Paul George,PF,33,LAC,12,12,34.4,8.3,17.3,.478,3.3,8.3,.400,4.9,8.9,.551,.575,5.0,5.3,.938,0.5,5.2,5.7,3.8,2.3,0.2,2.9,2.6,24.8,2024
138,Josh Giddey,SG,21,OKC,14,14,27.1,5.4,12.2,.444,0.6,1.9,.308,4.9,10.4,.469,.468,1.0,1.2,.824,1.3,4.4,5.6,4.7,0.8,0.6,2.9,1.1,12.4,2024
139,Harry Giles,C,25,BRK,2,0,6.0,2.5,3.0,.833,0.5,1.0,.500,2.0,2.0,1.000,.917,0.5,0.5,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,6.0,2024
140,Shai Gilgeous-Alexander,PG,25,OKC,13,13,33.9,11.2,20.8,.535,1.4,3.8,.360,9.8,17.0,.575,.568,5.9,6.4,.928,0.7,5.5,6.2,5.8,2.5,0.8,2.4,2.2,29.6,2024
141,Anthony Gill,PF,31,WAS,8,0,5.6,0.8,1.6,.462,0.0,0.1,.000,0.8,1.5,.500,.462,1.0,1.3,.800,0.4,0.8,1.1,0.5,0.4,0.4,0.6,0.5,2.5,2024
142,Collin Gillespie,PG,24,DEN,7,0,10.6,1.1,2.6,.444,0.4,1.6,.273,0.7,1.0,.714,.528,0.1,0.1,1.000,0.0,0.4,0.4,1.1,0.7,0.0,0.3,1.3,2.9,2024
143,Jacob Gilyard,PG,25,MEM,10,4,16.5,1.5,3.1,.484,1.4,2.9,.483,0.1,0.2,.500,.710,0.0,0.0,,0.5,1.2,1.7,3.3,0.9,0.1,0.6,1.3,4.4,2024
144,Rudy Gobert,C,31,MIN,13,13,32.1,4.3,7.7,.560,0.0,0.0,,4.3,7.7,.560,.560,3.4,5.9,.571,3.9,7.9,11.8,1.3,0.8,2.2,1.6,2.6,12.0,2024
145,Jordan Goodwin,PG,25,PHO,13,0,17.3,2.0,6.2,.325,1.2,3.3,.349,0.8,2.8,.297,.419,0.8,1.0,.769,0.8,2.8,3.6,2.2,1.0,0.4,0.8,1.2,5.9,2024
146,Aaron Gordon,PF,28,DEN,14,14,33.3,5.8,10.9,.529,0.5,2.1,.241,5.3,8.9,.597,.552,1.7,3.1,.545,2.3,4.7,7.0,4.1,1.1,1.0,1.9,1.9,13.8,2024
147,Eric Gordon,SG,35,PHO,12,8,30.8,5.7,12.4,.456,2.6,6.8,.378,3.1,5.6,.552,.560,0.3,0.4,.800,0.5,1.8,2.3,3.1,1.0,0.6,1.3,1.3,14.3,2024
148,Devonte' Graham,PG,28,SAS,2,0,14.5,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,2.0,2.5,.800,0.5,0.5,1.0,4.0,1.0,0.5,1.0,1.0,3.0,2024
149,Jerami Grant,PF,29,POR,13,13,35.7,7.5,17.6,.424,2.3,6.5,.353,5.2,11.1,.465,.489,4.8,6.0,.795,0.8,3.3,4.1,1.8,0.6,0.8,2.5,2.2,22.0,2024
150,A.J. Green,SG,24,MIL,8,0,9.0,1.3,2.9,.435,0.9,2.4,.368,0.4,0.5,.750,.587,0.1,0.1,1.000,0.0,0.9,0.9,1.0,0.0,0.0,0.0,0.8,3.5,2024
151,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
152,Draymond Green,PF,33,GSW,9,9,22.2,3.0,6.2,.482,1.0,2.2,.450,2.0,4.0,.500,.563,1.8,2.0,.889,1.4,3.7,5.1,5.7,0.7,0.6,1.8,2.4,8.8,2024
153,Jalen Green,SG,21,HOU,12,12,31.4,5.7,14.3,.395,1.9,5.4,.354,3.8,8.9,.421,.462,4.8,6.1,.781,0.3,4.3,4.6,2.8,0.5,0.4,2.3,1.8,18.0,2024
154,Jeff Green,PF,37,HOU,12,0,15.1,2.3,4.0,.583,0.4,1.3,.333,1.9,2.8,.697,.635,1.8,2.4,.759,1.1,1.8,2.8,0.6,0.2,0.2,0.5,1.0,6.9,2024
155,Josh Green,SG,23,DAL,14,3,25.9,2.4,5.9,.410,1.3,3.7,.346,1.1,2.2,.516,.518,0.6,1.1,.500,0.6,2.1,2.8,2.4,1.0,0.1,0.9,1.7,6.7,2024
156,AJ Griffin,SF,20,ATL,7,0,9.1,1.1,2.4,.471,0.9,2.0,.429,0.3,0.4,.667,.647,0.3,0.3,1.000,0.1,0.6,0.7,0.3,0.1,0.0,0.6,0.6,3.4,2024
157,Quentin Grimes,SG,23,NYK,12,12,24.7,2.7,6.8,.395,2.1,5.8,.362,0.6,1.0,.583,.549,0.0,0.1,.000,0.1,1.3,1.3,1.2,0.8,0.0,0.6,1.8,7.4,2024
158,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
159,Rui Hachimura,PF,25,LAL,10,1,22.5,4.4,7.9,.557,1.2,2.8,.429,3.2,5.1,.627,.633,2.0,2.6,.769,0.8,2.9,3.7,1.0,1.1,0.3,1.0,1.2,12.0,2024
160,Tyrese Haliburton,PG,23,IND,11,11,32.9,8.2,16.1,.508,3.2,7.4,.432,5.0,8.7,.573,.607,4.0,4.3,.936,0.5,3.5,4.0,11.6,1.0,0.7,2.3,1.2,23.5,2024
161,R.J. Hampton,PG,22,MIA,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
162,Tim Hardaway Jr.,SF,31,DAL,14,0,27.6,6.1,13.9,.441,3.6,9.0,.405,2.5,4.9,.507,.572,2.3,2.5,.914,0.3,3.4,3.6,1.7,0.2,0.0,0.9,0.9,18.2,2024
163,James Harden,SG,34,LAC,7,7,31.9,5.1,10.6,.486,2.0,5.6,.359,3.1,5.0,.629,.581,3.7,3.9,.963,0.6,4.3,4.9,5.4,1.1,0.3,2.0,1.1,16.0,2024
164,Jaden Hardy,SG,21,DAL,11,0,11.5,2.5,6.1,.403,0.9,2.8,.323,1.5,3.3,.472,.478,1.4,1.9,.714,0.2,1.3,1.5,1.2,0.4,0.0,0.6,1.0,7.2,2024
165,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2024
166,Gary Harris,SG,29,ORL,8,2,20.0,3.3,5.8,.565,2.0,3.9,.516,1.3,1.9,.667,.739,0.8,1.1,.667,0.8,1.4,2.1,1.4,0.8,0.5,0.5,0.8,9.3,2024
167,Joe Harris,SG,32,DET,7,0,14.0,1.3,3.6,.360,0.9,2.7,.316,0.4,0.9,.500,.480,0.0,0.0,,0.3,0.7,1.0,0.9,0.3,0.0,0.4,1.7,3.4,2024
168,Tobias Harris,PF,31,PHI,13,13,36.3,7.6,13.6,.559,1.2,3.2,.357,6.5,10.4,.622,.602,3.2,3.5,.891,1.0,5.8,6.8,2.8,0.9,0.4,1.8,1.5,19.5,2024
169,Josh Hart,SF,28,NYK,14,5,28.7,2.9,7.1,.414,0.9,3.1,.295,2.0,3.9,.509,.480,0.4,0.5,.714,1.1,5.1,6.1,2.6,1.0,0.3,0.9,1.8,7.1,2024
170,Isaiah Hartenstein,C,25,NYK,14,0,16.7,2.4,4.3,.567,0.1,0.2,.333,2.4,4.1,.579,.575,1.1,1.6,.652,2.4,2.4,4.8,0.9,1.0,0.4,0.9,2.8,6.0,2024
171,Sam Hauser,SF,26,BOS,14,2,22.3,3.2,6.9,.464,2.8,6.4,.438,0.4,0.6,.750,.665,0.3,0.3,1.000,0.5,2.6,3.1,0.7,0.6,0.4,0.4,1.6,9.5,2024
172,Jordan Hawkins,SG,21,NOP,14,8,29.6,4.4,11.4,.381,2.7,7.5,.362,1.6,3.9,.418,.500,1.6,1.9,.846,0.8,3.2,4.0,2.1,0.6,0.0,1.1,2.2,13.0,2024
173,Jaxson Hayes,C,23,LAL,12,0,9.5,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.8,1.3,.600,0.3,1.0,1.3,0.3,0.3,0.4,0.7,1.8,2.3,2024
174,Killian Hayes,PG,22,DET,14,13,28.1,3.6,9.1,.391,1.0,3.3,.304,2.6,5.9,.439,.445,1.3,1.7,.750,0.3,2.5,2.8,4.4,1.3,0.6,0.9,2.2,9.4,2024
175,Gordon Hayward,SF,33,CHO,12,12,32.9,5.7,13.3,.428,0.8,2.5,.333,4.8,10.8,.450,.459,2.9,3.9,.745,1.1,3.8,4.9,4.6,1.5,0.6,1.6,2.2,15.1,2024
176,Scoot Henderson,PG,19,POR,5,5,28.4,3.6,10.4,.346,0.4,4.2,.095,3.2,6.2,.516,.365,1.2,1.4,.857,0.6,1.6,2.2,4.6,0.6,0.2,4.0,4.0,8.8,2024
177,Taylor Hendricks,PF,20,UTA,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2024
178,Tyler Herro,SG,24,MIA,8,8,34.0,8.5,19.0,.447,3.1,7.6,.410,5.4,11.4,.473,.530,2.8,3.1,.880,0.4,4.6,5.0,4.6,1.4,0.0,2.5,1.6,22.9,2024
179,Buddy Hield,SF,31,IND,12,0,22.8,4.3,10.5,.405,2.8,7.5,.367,1.5,3.0,.500,.536,0.1,0.2,.500,0.6,2.5,3.1,2.8,0.6,0.6,1.8,1.6,11.3,2024
180,Haywood Highsmith,PF,27,MIA,10,9,25.3,2.6,6.0,.433,1.1,3.6,.306,1.5,2.4,.625,.525,0.9,1.1,.818,0.7,2.0,2.7,1.4,1.4,0.8,1.0,2.0,7.2,2024
181,Nate Hinton,SG,24,HOU,2,0,4.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,2024
182,D'Moi Hodge,SG,25,LAL,3,0,5.3,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,0.3,0.7,.500,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,1.0,2024
183,Aaron Holiday,PG,27,HOU,10,0,17.1,2.0,4.5,.444,0.9,2.3,.391,1.1,2.2,.500,.544,0.5,0.6,.833,0.1,1.5,1.6,1.7,0.7,0.0,0.5,1.6,5.4,2024
184,Jrue Holiday,PG,33,BOS,14,14,34.6,5.0,11.5,.435,1.6,4.5,.349,3.4,7.0,.490,.503,1.2,1.6,.773,2.1,5.3,7.4,5.1,0.6,1.0,2.1,1.5,12.8,2024
185,Justin Holiday,SG,34,DEN,5,0,7.2,0.8,1.4,.571,0.8,1.4,.571,0.0,0.0,,.857,0.0,0.0,,0.0,1.0,1.0,0.4,0.0,0.0,0.0,0.6,2.4,2024
186,Richaun Holmes,C,30,DAL,5,0,6.0,1.6,2.6,.615,0.0,0.0,,1.6,2.6,.615,.615,0.2,0.4,.500,1.4,1.2,2.6,0.2,0.0,0.0,0.6,1.2,3.4,2024
187,Chet Holmgren,C,21,OKC,14,14,29.6,5.9,10.5,.565,1.6,3.6,.460,4.3,6.9,.619,.643,3.5,3.9,.907,1.5,6.3,7.8,2.6,0.9,2.1,2.1,2.9,17.0,2024
188,Al Horford,C,37,BOS,12,3,24.0,2.4,5.5,.439,1.2,3.4,.341,1.3,2.1,.600,.545,0.2,0.2,1.000,1.8,4.0,5.8,2.2,0.4,0.8,0.9,1.6,6.2,2024
189,Talen Horton-Tucker,PG,23,UTA,13,8,23.4,4.1,9.8,.414,1.4,4.0,.346,2.7,5.8,.461,.484,1.1,1.2,.875,0.7,2.5,3.2,4.8,1.0,0.5,2.2,2.5,10.6,2024
190,Danuel House Jr.,SF,30,PHI,8,0,12.4,1.3,2.6,.476,0.4,1.4,.273,0.9,1.3,.700,.548,0.6,0.8,.833,0.5,1.0,1.5,0.8,0.3,0.1,0.9,1.0,3.5,2024
191,Caleb Houstan,SF,21,ORL,7,0,6.4,0.9,1.7,.500,0.7,1.6,.455,0.1,0.1,1.000,.708,0.1,0.1,1.000,0.0,0.7,0.7,0.4,0.0,0.0,0.3,0.4,2.6,2024
192,Jett Howard,SF,20,ORL,5,0,4.6,0.2,2.0,.100,0.0,1.6,.000,0.2,0.4,.500,.100,0.0,0.0,,0.2,0.2,0.4,0.4,0.0,0.0,0.4,0.0,0.4,2024
193,Kevin Huerter,SG,25,SAC,12,12,27.6,4.9,11.1,.444,2.6,7.0,.369,2.3,4.1,.571,.560,0.8,1.0,.833,0.6,3.7,4.3,2.9,1.1,0.3,0.9,2.3,13.3,2024
194,De'Andre Hunter,SF,26,ATL,12,12,29.5,4.5,10.2,.443,1.6,4.6,.345,2.9,5.6,.522,.520,2.3,2.8,.794,0.6,3.1,3.7,1.5,0.8,0.3,1.3,3.1,12.8,2024
195,Bones Hyland,PG,23,LAC,9,2,21.3,4.0,9.2,.434,1.8,4.9,.364,2.2,4.3,.513,.530,1.0,1.1,.900,0.2,1.3,1.6,2.7,0.7,0.0,1.9,2.3,10.8,2024
196,Joe Ingles,SF,36,ORL,13,0,19.3,1.2,3.7,.313,0.8,2.8,.306,0.3,0.9,.333,.427,0.3,0.4,.800,0.5,2.1,2.5,3.3,1.0,0.2,0.8,1.3,3.5,2024
197,Brandon Ingram,SF,26,NOP,11,11,33.6,9.7,19.5,.500,1.5,4.8,.302,8.3,14.6,.565,.537,3.2,4.1,.778,0.7,4.7,5.5,5.0,0.6,0.2,2.9,1.5,24.1,2024
198,Kyrie Irving,SG,31,DAL,11,11,32.9,8.9,18.8,.473,2.7,7.1,.385,6.2,11.7,.527,.546,3.4,3.8,.881,0.7,3.2,3.9,6.1,1.1,0.4,1.6,2.0,23.9,2024
199,Jonathan Isaac,PF,26,ORL,11,0,13.8,2.0,5.2,.386,0.7,2.6,.276,1.3,2.5,.500,.456,1.5,1.9,.810,1.0,3.2,4.2,0.4,1.0,1.4,0.6,1.5,6.3,2024
200,Jaden Ivey,SG,21,DET,11,2,22.2,4.2,8.0,.523,1.1,3.1,.353,3.1,4.9,.630,.591,1.9,2.4,.808,0.8,1.8,2.6,2.9,0.7,0.3,2.2,2.5,11.4,2024
201,Andre Jackson Jr.,SG,22,MIL,10,2,8.6,0.7,1.3,.538,0.3,0.7,.429,0.4,0.6,.667,.654,0.0,0.0,,0.7,0.8,1.5,0.9,0.3,0.0,0.6,1.6,1.7,2024
202,Gregory Jackson II,PF,19,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
203,Isaiah Jackson,C,22,IND,6,0,14.2,1.8,3.3,.550,0.0,0.0,,1.8,3.3,.550,.550,2.0,3.2,.632,1.7,2.5,4.2,0.8,0.7,1.7,0.3,2.8,5.7,2024
204,Jaren Jackson Jr.,C,24,MEM,13,13,30.7,6.6,15.4,.430,1.6,5.2,.313,5.0,10.2,.489,.483,4.9,5.8,.842,1.8,4.3,6.2,2.0,0.5,1.6,1.8,3.3,19.8,2024
205,Reggie Jackson,PG,33,DEN,14,7,25.1,4.6,9.6,.485,1.4,3.8,.358,3.3,5.8,.568,.556,0.8,1.3,.611,0.1,1.7,1.9,3.6,0.9,0.4,1.4,1.7,11.4,2024
206,Trayce Jackson-Davis,PF,23,GSW,11,0,7.5,0.9,1.6,.556,0.0,0.0,,0.9,1.6,.556,.556,1.0,1.6,.611,0.8,0.9,1.7,0.5,0.1,0.5,0.4,1.3,2.8,2024
207,LeBron James,PF,39,LAL,13,13,34.4,9.9,16.9,.586,2.2,5.6,.397,7.7,11.3,.680,.652,4.3,6.2,.691,0.6,7.5,8.2,6.5,1.7,0.8,4.0,1.5,26.4,2024
208,Jaime Jaquez Jr.,SF,22,MIA,14,3,24.6,4.0,7.9,.509,1.1,3.0,.357,2.9,4.9,.603,.577,0.6,0.7,.800,1.1,2.2,3.4,2.3,1.1,0.2,1.2,2.3,9.6,2024
209,DaQuan Jeffries,SG,26,NYK,6,0,3.0,0.5,1.3,.375,0.2,0.7,.250,0.3,0.7,.500,.438,0.0,0.3,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.2,0.2,1.2,2024
210,Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,2024
211,Isaiah Joe,SG,24,OKC,14,0,19.6,3.3,7.0,.469,2.8,5.6,.500,0.5,1.4,.350,.668,0.9,1.2,.765,0.1,2.1,2.2,1.1,0.9,0.1,0.6,1.2,10.3,2024
212,Cameron Johnson,PF,27,BRK,6,6,28.3,4.8,12.0,.403,2.2,6.5,.333,2.7,5.5,.485,.493,1.8,2.2,.846,1.5,3.5,5.0,1.8,1.0,0.2,1.7,2.0,13.7,2024
213,Jalen Johnson,SF,22,ATL,12,9,30.6,6.1,10.0,.608,1.3,2.8,.441,4.8,7.2,.674,.671,1.6,2.2,.731,1.5,6.4,7.9,2.2,0.9,1.0,2.0,2.3,15.0,2024
214,Keldon Johnson,SF,24,SAS,13,13,32.6,6.5,14.0,.462,2.1,5.8,.360,4.4,8.2,.533,.536,1.8,2.6,.676,0.8,5.6,6.4,4.3,0.8,0.3,1.2,2.5,16.8,2024
215,Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
216,Nikola Jokić,C,28,DEN,14,14,32.9,10.7,18.7,.573,1.4,4.6,.297,9.4,14.1,.662,.609,4.6,5.8,.790,2.9,10.3,13.1,8.7,0.9,0.8,3.3,2.3,27.4,2024
217,Colby Jones,SG,21,SAC,8,0,8.6,1.5,3.3,.462,0.1,0.9,.143,1.4,2.4,.579,.481,0.3,0.4,.667,0.6,1.0,1.6,0.3,0.3,0.1,0.4,1.1,3.4,2024
218,Damian Jones,C,28,CLE,9,0,4.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.1,0.2,.500,0.2,0.6,0.8,0.2,0.0,0.1,0.2,0.3,0.8,2024
219,Derrick Jones Jr.,SF,26,DAL,14,14,22.0,3.2,6.6,.484,1.4,3.8,.358,1.9,2.9,.650,.586,0.9,1.3,.722,0.9,2.8,3.7,1.1,0.5,0.6,1.1,1.2,8.7,2024
220,Herbert Jones,SF,25,NOP,11,11,31.0,3.9,7.5,.518,1.1,3.1,.353,2.8,4.5,.633,.590,2.7,3.1,.882,0.6,3.6,4.3,2.9,2.0,1.6,1.2,3.7,11.6,2024
221,Tre Jones,PG,24,SAS,11,0,25.1,3.1,7.2,.430,0.5,2.2,.250,2.5,5.0,.509,.468,1.6,1.8,.900,0.8,2.0,2.8,5.6,0.6,0.4,1.5,1.3,8.4,2024
222,Tyus Jones,PG,27,WAS,13,13,26.7,4.5,9.1,.492,1.2,3.2,.366,3.3,5.9,.558,.555,0.3,0.5,.667,0.3,2.3,2.6,4.7,0.8,0.2,0.8,1.0,10.4,2024
223,DeAndre Jordan,C,35,DEN,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2024
224,Cory Joseph,PG,32,GSW,6,0,7.8,0.7,2.7,.250,0.7,2.0,.333,0.0,0.7,.000,.375,0.0,0.2,.000,0.3,0.3,0.7,1.5,0.2,0.2,0.7,0.7,2.0,2024
225,Nikola Jović,PF,20,MIA,2,1,14.0,2.0,4.0,.500,1.5,2.5,.600,0.5,1.5,.333,.688,1.0,1.0,1.000,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5,2024
226,Luke Kennard,SG,27,MEM,8,0,21.5,2.6,7.3,.362,2.1,5.8,.370,0.5,1.5,.333,.509,0.9,0.9,1.000,0.4,2.5,2.9,2.0,0.6,0.1,0.6,0.5,8.3,2024
227,Walker Kessler,C,22,UTA,8,8,24.0,3.5,6.4,.549,0.3,0.8,.333,3.3,5.6,.578,.569,1.0,1.6,.615,3.4,4.5,7.9,0.3,0.0,2.1,1.0,2.1,8.3,2024
228,Braxton Key,SF,26,DEN,4,0,2.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5,2024
229,Corey Kispert,SF,24,WAS,12,0,22.6,3.5,7.5,.467,1.8,4.8,.362,1.8,2.7,.656,.583,1.6,2.0,.792,0.7,1.8,2.4,1.6,0.4,0.0,1.0,1.6,10.3,2024
230,Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4,2024
231,Kevin Knox,SF,24,DET,4,2,27.5,4.8,9.3,.514,2.0,4.5,.444,2.8,4.8,.579,.622,0.3,0.5,.500,1.3,4.0,5.3,0.8,1.0,0.3,1.0,2.8,11.8,2024
232,John Konchar,SF,27,MEM,10,2,19.4,1.5,3.5,.429,0.8,2.0,.400,0.7,1.5,.467,.543,0.0,0.0,,1.0,3.1,4.1,1.9,0.8,0.7,0.4,1.1,3.8,2024
233,Furkan Korkmaz,SG,26,PHI,10,0,7.5,0.8,2.0,.400,0.3,0.9,.333,0.5,1.1,.455,.475,0.4,0.6,.667,0.1,0.5,0.6,0.3,0.5,0.0,0.6,0.4,2.3,2024
234,Luke Kornet,C,28,BOS,10,0,12.3,1.7,2.1,.810,0.0,0.0,,1.7,2.1,.810,.810,0.6,0.8,.750,1.2,2.3,3.5,0.6,0.4,0.3,0.3,1.0,4.0,2024
235,Jonathan Kuminga,PF,21,GSW,14,1,20.4,4.2,9.7,.434,0.4,2.3,.188,3.8,7.4,.510,.456,3.1,4.3,.717,0.9,2.4,3.3,0.9,0.6,0.4,1.5,2.5,11.9,2024
236,Kyle Kuzma,PF,28,WAS,13,13,30.4,9.2,19.4,.476,2.4,6.7,.356,6.8,12.7,.539,.538,2.5,3.2,.786,1.1,4.6,5.7,3.9,0.3,0.5,2.2,1.8,23.4,2024
237,Jock Landale,C,28,HOU,10,0,9.2,0.6,2.1,.286,0.2,0.9,.222,0.4,1.2,.333,.333,0.2,0.2,1.000,0.9,1.2,2.1,0.8,0.3,0.2,0.7,0.7,1.6,2024
238,Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4.0,.350,0.4,2.4,.167,1.0,1.6,.625,.400,0.2,0.4,.500,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4,2024
239,Zach LaVine,SG,28,CHI,15,15,35.5,7.1,16.5,.431,2.5,7.5,.339,4.6,9.1,.507,.508,4.5,5.2,.872,0.3,4.7,5.1,3.3,0.9,0.3,2.1,2.1,21.3,2024
240,Saben Lee,PG,24,PHO,3,0,3.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0,2024
241,Alex Len,C,30,SAC,6,0,6.8,1.0,1.3,.750,0.0,0.2,.000,1.0,1.2,.857,.750,0.5,1.2,.429,1.2,1.5,2.7,0.8,0.2,0.8,0.3,0.3,2.5,2024
